CODUSU,COMPONENTE,Edad,Genero,adulto_equiv,ad_equiv_hogar
TQRMNOSWXHLMMMCDEIJAH00801981,5,2,1,0.46,3.69
TQRMNOPRWHLMMOCDEIJAH00718836,1,54,2,0.76,0.76
TQRMNOTXSHJLMOCDEIJAH00801987,2,50,1,1.0,1.0
TQRMNOPYWHLNONCDEIIAD00718603,1,83,2,0.63,0.63
TQRMNOSWTHJOKNCDEIJAH00797812,2,43,2,0.77,2.28
TQRMNOSWTHJOKNCDEIJAH00797812,3,7,2,0.66,2.28
TQRMNOSWTHJOKNCDEIJAH00797812,4,12,1,0.85,2.28
TQRMNOURQHKOKOCDEIIAD00779758,1,38,2,0.77,2.74
TQRMNOURQHKOKOCDEIIAD00779758,2,41,1,1.0,2.74
TQRMNOURQHKOKOCDEIIAD00779758,3,5,1,0.6,2.74
TQRMNOURQHKOKOCDEIIAD00779758,4,1,2,0.37,2.74
TQRMNOPQVHLLMRCDEIIAD00718498,1,32,2,0.77,2.49
TQRMNOPQVHLLMRCDEIIAD00718498,2,37,1,1.0,2.49
TQRMNOPQVHLLMRCDEIIAD00718498,3,11,2,0.72,2.49
TQRMNORTWHKKMSCDEIIAD00779955,1,78,2,0.63,1.26
TQRMNORTWHKKMSCDEIIAD00779955,2,99,2,0.63,1.26
TQRMNORSXHKKMTCDEIIAD00785324,2,33,2,0.77,2.28
TQRMNOPWXHJNRRCDEIJAH00793921,1,71,1,0.83,2.46
TQRMNOSRUHKMMNCDEIJAH00780482,1,55,2,0.76,1.52
TQRMNOSRUHKMMNCDEIJAH00780482,3,24,2,0.76,1.52
TQRMNOPUPHMMOQCDEIIAD00801655,2,58,2,0.76,0.76
TQRMNORPPHKNOQCDEIIAD00785688,1,34,2,0.77,4.04
TQRMNORPPHKNOQCDEIIAD00785688,2,15,1,1.0,4.04
TQRMNORPPHKNOQCDEIIAD00785688,3,13,2,0.76,4.04
TQRMNORPPHKNOQCDEIIAD00785688,4,11,1,0.82,4.04
TQRMNORPPHKNOQCDEIIAD00785688,5,9,1,0.69,4.04
TQRMNOUSRHLMKMCDEIJAH00718853,1,64,2,0.67,0.67
TQRMNOPUVHMMKOCDEIJAH00801931,1,67,2,0.67,4.12
TQRMNOSTVHKNMOCDEIJAH00780624,1,34,2,0.77,5.05
TQRMNOSTVHKNMOCDEIJAH00780624,2,38,1,1.0,5.05
TQRMNOSTVHKNMOCDEIJAH00780624,3,33,2,0.77,5.05
TQRMNOSTVHKNMOCDEIJAH00780624,4,37,1,1.0,5.05
TQRMNOSTVHKNMOCDEIJAH00780624,5,15,1,1.0,5.05
TQRMNOSTVHKNMOCDEIJAH00780624,6,3,1,0.51,5.05
TQRMNOQPTHMMMPCDEIJAH00801983,2,68,2,0.67,0.67
TQRMNORSXHKKMTCDEIIAD00785324,3,17,2,0.77,2.28
TQRMNORSXHKKMTCDEIIAD00785324,4,12,2,0.74,2.28
TQRMNOTTRHMOTOCDEIJAH00801989,1,55,1,1.0,2.36
TQRMNOTTRHMOTOCDEIJAH00801989,2,46,2,0.76,2.36
TQRMNOTTRHMOTOCDEIJAH00801989,3,5,1,0.6,2.36
TQRMNORUVHKOSOCDEIJAH00786204,1,29,2,0.76,3.74
TQRMNORUVHKOSOCDEIJAH00786204,2,31,1,1.0,3.74
TQRMNORUVHKOSOCDEIJAH00786204,3,11,2,0.72,3.74
TQRMNORUVHKOSOCDEIJAH00786204,4,7,2,0.66,3.74
